,score,rolling_avg_score
1,0.4639999896287918,0.4639999896287918
2,0.5704999872483313,0.5172499884385615
3,0.8624999807216227,0.6323333191995819
4,0.6749999849125743,0.64299998562783
5,0.661999985203147,0.6467999855428934
6,0.46499998960644007,0.6164999862201511
7,0.6689999850466848,0.6239999860525131
8,0.7529999831691384,0.6401249856920912
9,0.7609999829903245,0.6535555409474505
10,0.7689999828115106,0.6650999851338565
11,0.623499986063689,0.6613181670365685
12,0.6614999852143228,0.6613333185513813
13,1.0154999773018063,0.6885769076860294
14,0.9679999783635139,0.7085356984487069
15,0.778499982599169,0.7131999840587376
16,0.9794999781064689,0.7298437336867208
17,0.9769999781623483,0.7443823363029343
18,0.9544999786652625,0.756055538656397
19,1.0904999756254257,0.7736578774442405
20,1.1279999747872353,0.7913749823113903
21,1.525499965902418,0.8263333148633439
22,1.2729999715462328,0.8466363447125662
23,2.086999953351915,0.900565197262103
24,2.2014999507926403,0.9547708119925421
25,2.629999941214919,1.0217799771614373
26,3.2204999280162157,1.1063461291173904
27,3.8469999140128492,1.2078518248542591
28,4.436999900825322,1.3231785418532256
29,6.918499845359475,1.5161206557672342
30,5.675999873131514,1.6547832963460436
31,8.127499818336219,1.863580603507017
32,9.495499787759035,2.1020780780148924
33,9.6314997847192,2.3302423721574472
34,9.79749978100881,2.54986759006484
35,11.147499750833958,2.795514223229672
36,14.103499684762209,3.1096249304944648
37,14.27549968091771,3.4114053291545523
38,18.23749959236011,3.8015657045020665
39,16.219499637465923,4.119974266885755
40,21.176999526657163,4.546399898380041
41,21.588999517448247,4.962073059820729
42,23.60199947245419,5.405880831550097
43,28.53649936215952,5.943802192727061
44,23.780999468453228,6.349193039902656
45,25.778499423805624,6.780955403989388
46,32.11099928226322,7.33160853177795
47,32.203499280195686,7.860797696637901
48,29.927999331057073,8.320531064021635
49,32.938999263755974,8.82294878238356
50,31.683999291807414,9.280169792572037
51,29.404499342758207,9.67476448963451
52,31.2754993009381,10.090163236005735
53,32.7094992688857,10.516943161154412
54,32.01299928445369,10.915018274548844
55,33.47149925185367,11.32513611049984
56,32.513499273266646,11.703499738406391
57,31.24899930153042,12.046403239513829
58,31.27049930104986,12.377853171609278
59,32.48299927394837,12.718618359784518
60,33.16649925867095,13.059416374765958
61,31.594999293796718,13.363278389832036
62,31.20149930259213,13.650991630360423
63,30.299499322753398,13.915253657223804
64,31.18099930305034,14.185030932939844
65,31.709999291226268,14.454645830759635
66,31.870499287638815,14.718522398288108
67,31.65599929243326,14.971320560887289
68,31.304999300278723,15.211521718819517
69,33.38649925375357,15.4749271903403
70,32.106999282352625,15.712528220226192
71,33.796499244589356,15.967232037470742
72,32.06749928323552,16.190846860328588
73,32.2534992790781,16.410883194832007
74,33.54949925011024,16.642486114497927
75,32.322499277535826,16.851552956671767
76,32.358499276731166,17.05559172404097
77,31.764499290008096,17.24661649762496
78,31.959499285649507,17.435243200035533
79,32.322499277535826,17.62368947949756
80,34.81249922187999,17.838549601277343
81,35.219999212771654,18.05313539895011
82,34.39099923130125,18.252377640808053
83,34.325999232754114,18.44603573227728
84,35.75949920071289,18.652148392615803
85,35.76549920057878,18.853481931533015
86,36.41299918610603,19.057662364725722
87,37.16299916934222,19.265769684319014
88,37.376999164558946,19.47157911023083
89,37.011499172728506,19.66865686374204
90,37.24349916754291,19.86393288933983
91,37.61699915919453,20.059021529667902
92,37.58699915986508,20.249543025648308
93,36.930499174539,20.428908145528855
94,36.171999191492795,20.596387837507194
95,36.06899919379502,20.759257430731274
96,37.821499154623595,20.936989115355154
97,35.897999197617175,21.09122633269806
98,36.017999194934966,21.2435403414964
99,36.88149917563423,21.401499521639206
100,37.16299916934222,21.559114518116235
101,36.711999179422854,21.921594510014174
102,37.59899915959686,22.29187950173766
103,38.26249914476648,22.66587949337811
104,38.58049913765863,23.04493448490557
105,37.04799917191267,23.408794476772663
106,37.85699915383011,23.782714468414902
107,36.330499187950046,24.139329460443932
108,37.51099916156382,24.506909452227877
109,38.28549914425239,24.8821544438405
110,37.93949915198609,25.253859435532245
111,37.88249915326014,25.62644942720421
112,37.13199917003512,25.991154419052418
113,37.203999168425796,26.35303941096366
114,34.24099923465401,26.685769403526564
115,36.8414991765283,27.04639939546586
116,36.579999182373285,27.402404387508525
117,37.18599916882813,27.764494379415183
118,36.14399919211864,28.116389371549715
119,37.095499170850964,28.47643936350197
120,37.58299915995449,28.840989355353646
121,35.7389992011711,29.183124347706336
122,36.49249918432906,29.535319339834164
123,37.72249915683642,29.89167433186901
124,36.68099918011576,30.236469324162236
125,37.06849917145446,30.580854316464627
126,38.140499147493394,30.9300543086594
127,37.92799915224314,31.2708643010417
128,36.60149918189272,31.592509293852377
129,37.677999157831074,31.90010428697709
130,36.97299917358905,32.21307427998167
131,36.497499184217304,32.496774273640476
132,37.28649916658178,32.774684267428704
133,36.72449917914346,33.04561426137295
134,37.80649915495887,33.32570425511245
135,38.28699914421886,33.5970992490463
136,35.55499920528382,33.811614244251516
137,37.8049991549924,34.046909238992264
138,37.21149916825816,34.23664923475124
139,36.32349918810651,34.43768923025765
140,37.069499171432106,34.5966142267054
141,36.43649918558076,34.74508922338672
142,36.92399917468428,34.87830922040903
143,37.8464991540648,34.971409218328084
144,36.99099917318672,35.10350921537542
145,37.615999159216884,35.22188421272952
146,37.35599916502834,35.27433421155717
147,37.56499916035682,35.32794921035878
148,36.78899917770177,35.39655920882523
149,36.9904991731979,35.43707420791966
150,35.44149920782074,35.474649207079786
151,34.350499232206495,35.52410920597426
152,35.091999215632676,35.56227420512121
153,36.0849991934374,35.59602920436673
154,37.61699915919453,35.652069203114145
155,37.65799915827811,35.69393420217838
156,36.559499182831495,35.734394201274036
157,37.198499168548736,35.79388919994422
158,37.32299916576594,35.85441419859138
159,35.73599920123816,35.88694419786427
160,34.73849922353402,35.9026641975129
161,35.24349921224639,35.93914919669739
162,36.22049919040874,35.98933919557556
163,36.51099918391556,36.05145419418718
164,35.48149920692667,36.09445919322594
165,37.330499165598305,36.15066419196966
166,38.09899914842099,36.21294919057748
167,36.10949919288978,36.25748418958205
168,36.52149918368086,36.309649188416074
169,35.1959992133081,36.32774418801162
170,35.74599920101464,36.36413418719824
171,36.9989991730079,36.39615918648243
172,37.261999167129396,36.44810418532137
173,36.64149918099865,36.49198418434057
174,37.583999159932134,36.53232918343879
175,36.51149918390438,36.57421918250248
176,36.71149917943403,36.61774918152951
177,36.2984991886653,36.66308918051608
178,36.33299918789417,36.70682417953853
179,35.50249920645729,36.738624178827735
180,37.057999171689154,36.76107917832583
181,36.20249919081107,36.77090417810623
182,37.463499162625524,36.801629177419464
183,36.26199918948114,36.82098917698673
184,35.97899919580668,36.82318417693767
185,36.80299917738885,36.833559176705776
186,35.227499212604016,36.821704176970755
187,34.49749922892079,36.79504917756653
188,34.66499922517687,36.767929178172714
189,34.28899923358112,36.74070417878124
190,36.76099917832762,36.73587917888909
191,35.19999921321869,36.711709179429334
192,35.02249921718612,36.686064180002546
193,36.737499178852886,36.68413418004568
194,33.89649924235418,36.6613791805543
195,36.53949918327853,36.66608418044913
196,31.36399929895997,36.601509181892496
197,35.0924992156215,36.59345418207254
198,34.11599923744798,36.57443418249767
199,34.750999223254624,36.553129182973876
200,33.5154992508702,36.51665418378915
201,36.45449918517843,36.51407918384671
202,38.26799914464355,36.52076918369718
203,37.140499169845135,36.50954918394797
204,37.414499163720755,36.497889184208596
205,36.406999186240135,36.49147918435187
206,35.10299921538681,36.46393918496744
207,37.468499162513766,36.47531918471307
208,38.647999136149885,36.48668918445893
209,37.50949916159734,36.478929184632385
210,37.57149916021153,36.475249184714635
211,37.7054991572164,36.47347918475419
212,37.61549915922806,36.478314184646116
213,35.282999211363496,36.459104185075496
214,34.116999237425624,36.45786418510322
215,36.58899918217212,36.45533918515966
216,34.063999238610265,36.430179185722025
217,36.58199918232858,36.42413918585703
218,35.760999200679365,36.420309185942635
219,37.74299915637821,36.426784185797906
220,36.142999192141,36.412384186119766
221,37.30499916616827,36.42804418576974
222,36.495999184250834,36.42807918576896
223,36.46699918489903,36.41552418604958
224,34.523499228339645,36.39394918653182
225,35.12849921481684,36.37454918696544
226,35.56249920511618,36.34876918754167
227,35.64049920337275,36.32589418805296
228,35.81599919945002,36.31803918822854
229,34.990999217890206,36.29116918882912
230,35.36499920953065,36.27508918918854
231,35.83899919893592,36.26850418933573
232,36.08449919344857,36.2564841896044
233,36.16649919161573,36.25090418972912
234,36.29099918883294,36.235749190067864
235,33.98299924042076,36.19270919102988
236,36.132999192364515,36.19848919090069
237,36.707999179512264,36.18751919114589
238,36.16249919170514,36.177029191380356
239,36.214499190542845,36.175939191404716
240,36.612499181646854,36.17136919150686
241,36.80499917734414,36.17505419142449
242,33.17749925842509,36.137589192261906
243,31.83849928835407,36.077509193604804
244,35.75499920081347,36.06514919388107
245,34.405999230965975,36.033049194598554
246,35.5069992063567,36.01455919501184
247,33.95999924093485,35.97850919581762
248,36.77049917811528,35.97832419582175
249,37.59499915968627,35.98436919568664
